hospital;area;unidade_origem;atividade;codigo;versao;data;classe;arquivo;paginas;paginas_mencao_fluxo;fonte;pagina_origem;sha256;observacao
HC-UFTM;Patrimônio;UPAT;Emissão de Relatórios Mensais de Bens Móveis e Encaminhamento ao Setor de Contabilidade;POP.HC-UFTM-UPAT.003;3;13/05/2026;Núcleo das quatro unidades;HC-UFTM/01_Patrimonio/POP_HC-UFTM-UPAT_003_emissao_de_relatorios_mensais_de_bens_moveis_e_encaminhamento_ao__2026.pdf;11;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.HCUFTMUPAT.003EmissaodeRelatoriosMensaisdeBensMoveiseEncaminhamentoaoSetordeContabilidadeversao3.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops;2e02f509324d01c69b07911af312e7ba2aed0a1e061a8b816202f79dcf77fdf6;Data de emissão conferida no PDF.
HC-UFTM;Patrimônio;UPAT;Recebimento em Doação de Material Permanente;POP.UPAT.001;2;27/03/2025;Núcleo das quatro unidades;HC-UFTM/01_Patrimonio/POP_UPAT_001_recebimento_em_doacao_de_material_permanente_2025.pdf;6;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.UPAT.001RecebimentoemDoacaodeMaterialPermanenteversao2.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-sudeste/hc-uftm/documentos/procedimentos-e-rotinas-operacionais-padrao/pops/POP.UPAT.001RecebimentoemDoacaodeMaterialPermanenteversao2.pdf;1307f4f757334d64f6260435a540900b4c19a0371b86219587ef72c2f08807b9;Data de emissão conferida no PDF.
HU-UFGD;Compras e Licitações;STEC;AQUISIÇÃO DE EQUIPAMENTOS MÉDICO HOSPITALARES;POP.STEC.008;02;09/06/2025;Interface de outra unidade;HU-UFGD/05_Interfaces/POP_STEC_008_aquisicao_de_equipamentos_medico_hospitalares_2025.pdf;8;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/gad/pop-stec-008-aquisicao-de-equipamentos-medico-hospitalares-v-2.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/superintendencia-1;296e34f145b13a69a2b8af2bf27034be1f07d57fb74211bdda56eac87d8bfef7;Data de emissão conferida no PDF.
HU-UFGD;Contratos;SCONT;CONTAS DE CONTROLE - CONTRATOS;POP.SCONT.003;02;25/03/2025;Interface de outra unidade;HU-UFGD/05_Interfaces/POP_SCONT_003_contas_de_controle_contratos_2025.pdf;8;[8];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/gad/pop-scont-003-contas-de-controle-contratos-v-2.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/superintendencia-1;fadf59d9728ffb22908c5ad86cef3271b548a5bb94c390ca72b89b850953dd6c;Data de emissão conferida no PDF.
HU-UFGD;Patrimônio;SCONT;REGISTRO DA DEPRECIAÇÃO E AMORTIZAÇÃO DE BENS MÓVEIS, IMÓVEIS E INTANGÍVEIS;POP.SCONT.006;02;31/03/2025;Interface de outra unidade;HU-UFGD/05_Interfaces/POP_SCONT_006_registro_da_depreciacao_e_amortizacao_de_bens_moveis_imoveis_e_in_2025.pdf;11;[11];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/gad/pop-scont-006-registro-da-depreciacao-e-amortizacao-de-bens-moveis-imoveis-e-intangiveis-v-2.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/gad/pop-scont-006-registro-da-depreciacao-e-amortizacao-de-bens-moveis-imoveis-e-intangiveis-v-2.pdf;944a41d85cd02215f767461048457b4688dae4a907bf4faf59b886fd557c3f01;Data de emissão conferida no PDF.
HU-UFGD;Patrimônio;SCONT;RECEBIMENTO DE BENS MÓVEIS EM DOAÇÃO;POP.SCONT.007;02;25/03/2025;Interface de outra unidade;HU-UFGD/05_Interfaces/POP_SCONT_007_recebimento_de_bens_moveis_em_doacao_2025.pdf;8;[7];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/gad/pop-scont-007-recebimento-de-bens-moveis-em-doacao-v-2.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/superintendencia-1;79f74376c69bc024767b1bf7376ca776e3b56ce6acc2fd73bf75833c2fe89135;Data de emissão conferida no PDF.
HU-UFGD;Patrimônio;STEC;DESATIVAÇÃO E DEVOLUÇÃO AO PATRIMÔNIO DE EQUIPAMENTOS MÉDICOS;POP.STEC.169;01;22/04/2026;Interface de outra unidade;HU-UFGD/05_Interfaces/POP_STEC_169_desativacao_e_devolucao_ao_patrimonio_de_equipamentos_medicos_2026.pdf;3;[1];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/gad/POP.STEC.169._Desativacao_e_devolucao_ao_patrimonio_de_equipamentos_medicos.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-centro-oeste/hu-ufgd/acesso-a-informacao/pops-protocolos-e-processos/superintendencia-1;0c45a19119b146c269068e2c87d10baf409d6e711b0a2da83a6993f98b8e416f;Data de emissão conferida no PDF.
HUAB-UFRN;Contratos;SCONT;Registro, baixa e acompanhamento dos arrendamentos;POP.SCONT.013;1;24/11/2025;Interface de outra unidade;HUAB-UFRN/05_Interfaces/POP_SCONT_013_registro_baixa_e_acompanhamento_dos_arrendamentos_2025.pdf;29;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-nordeste/huab-ufrn/documentos-institucionais/pop-scont-013-registro-baixa-e-acompanhamento-dos-arrendamentos.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-nordeste/huab-ufrn/documentos-institucionais/pop-scont-013-registro-baixa-e-acompanhamento-dos-arrendamentos.pdf;72c63d43766bf9cd3491ac7695f9ee62d6e17a204c2538aa93080ceaa1cc3428;"Data da versão inicial no histórico; aprovação em 28/11/2025."
HULW-UFPB;Compras e Licitações;UCL;DISPENSA DE LICITAÇÃO EMERGENCIAL;POP.UCL.001;02;09/12/2025;Núcleo das quatro unidades;HULW-UFPB/02_Compras_Licitacoes/POP_UCL_001_dispensa_de_licitacao_emergencial_2025.pdf;7;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-nordeste/hulw-ufpb/acesso-a-informacao/gestao-documental/nova-gestao-documental-2024/uacap-unidade-de-analises-clinicas-e-anatomia-patologica/daf-divisao-administrativa-financeira/sad-setor-de-administracao/ucl-unidade-de-compras-e-licitacao/pop-ucl-001-dispensa-de-licitacao-emergencial.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-nordeste/hulw-ufpb/acesso-a-informacao/gestao-documental/nova-gestao-documental-2024/uacap-unidade-de-analises-clinicas-e-anatomia-patologica/daf-divisao-administrativa-financeira/sad-setor-de-administracao/ucl-unidade-de-compras-e-licitacao;e752527dff9b4abe6ebf5cea1540986b0ba2f0e1b57725d05f882cc1a7a13e77;Data de emissão conferida no PDF.
HULW-UFPB;Compras e Licitações;UCL;ADESÃO À ATA DE REGISTRO DE PREÇOS;POP.UCL.002;02;02/12/2025;Núcleo das quatro unidades;HULW-UFPB/02_Compras_Licitacoes/POP_UCL_002_adesao_a_ata_de_registro_de_precos_2025.pdf;7;[];https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-nordeste/hulw-ufpb/acesso-a-informacao/gestao-documental/nova-gestao-documental-2024/uacap-unidade-de-analises-clinicas-e-anatomia-patologica/daf-divisao-administrativa-financeira/sad-setor-de-administracao/ucl-unidade-de-compras-e-licitacao/pop-ucl-002-adesao-a-ata-de-registro-de-precos.pdf;https://www.gov.br/hubrasil/pt-br/hospitais-universitarios/regiao-nordeste/hulw-ufpb/acesso-a-informacao/gestao-documental/nova-gestao-documental-2024/uacap-unidade-de-analises-clinicas-e-anatomia-patologica/daf-divisao-administrativa-financeira/sad-setor-de-administracao/ucl-unidade-de-compras-e-licitacao;01252a456a7c9a9c34f7c13cc8a93dab0b2049daa9b35553141859a5129969c1;Data de emissão conferida no PDF.
